2023-05-15 16:31:08,188 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Configure stats pid to 50479
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Loading settings from /Users/tam/.config/wandb/settings
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Loading settings from /Users/tam/Documents/thesis/thesis_rl/wandb/settings
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'experiment_sac_discrete.py', 'program': 'experiment_sac_discrete.py'}
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_init.py:_log_setup():507] Logging user logs to /Users/tam/Documents/thesis/thesis_rl/wandb/run-20230515_163108-n2gthb7d/logs/debug.log
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/tam/Documents/thesis/thesis_rl/wandb/run-20230515_163108-n2gthb7d/logs/debug-internal.log
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_init.py:init():547] calling init triggers
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_init.py:init():596] starting backend
2023-05-15 16:31:08,189 INFO    MainThread:50479 [wandb_init.py:init():600] setting up manager
2023-05-15 16:31:08,194 INFO    MainThread:50479 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-05-15 16:31:08,197 INFO    MainThread:50479 [wandb_init.py:init():606] backend started and connected
2023-05-15 16:31:08,207 INFO    MainThread:50479 [wandb_init.py:init():700] updated telemetry
2023-05-15 16:31:08,233 INFO    MainThread:50479 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-15 16:31:09,227 INFO    MainThread:50479 [wandb_run.py:_on_init():2177] communicating current version
2023-05-15 16:31:09,326 INFO    MainThread:50479 [wandb_run.py:_on_init():2186] got version response 
2023-05-15 16:31:09,327 INFO    MainThread:50479 [wandb_init.py:init():787] starting run threads in backend
2023-05-15 16:31:11,433 INFO    MainThread:50479 [wandb_run.py:_console_start():2158] atexit reg
2023-05-15 16:31:11,434 INFO    MainThread:50479 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-15 16:31:11,434 INFO    MainThread:50479 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-15 16:31:11,434 INFO    MainThread:50479 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-15 16:31:11,434 INFO    MainThread:50479 [wandb_init.py:init():829] run started, returning control to user process
2023-05-15 16:31:11,460 INFO    MainThread:50479 [wandb_watch.py:watch():51] Watching
2023-05-15 16:31:14,895 INFO    MainThread:50479 [wandb_run.py:_finish():1893] finishing run mrtm/SAC_disc/n2gthb7d
2023-05-15 16:31:14,895 INFO    MainThread:50479 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 1
2023-05-15 16:31:14,895 INFO    MainThread:50479 [wandb_run.py:_restore():2110] restore
2023-05-15 16:31:14,895 INFO    MainThread:50479 [wandb_run.py:_restore():2116] restore done
2023-05-15 16:31:19,393 INFO    MainThread:50479 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-05-15 16:31:19,394 INFO    MainThread:50479 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-05-15 16:31:19,402 INFO    MainThread:50479 [wandb_run.py:_footer_sync_info():3428] logging synced files
